x, y, z,true densities,mbe (breiman),num used patterns (mbe (breiman)),mbe (silverman),num used patterns (mbe (silverman)),parzen,num used patterns (parzen),sambe (breiman),num used patterns (sambe (breiman)),sambe (silverman),num used patterns (sambe (silverman)),mbe (breiman) - mbe (silverman),mbe (breiman) - parzen,mbe (breiman) - sambe (breiman),mbe (breiman) - sambe (silverman),mbe (silverman) - parzen,mbe (silverman) - sambe (breiman),mbe (silverman) - sambe (silverman),parzen - sambe (breiman),parzen - sambe (silverman),sambe (breiman) - sambe (silverman)
5.529215703790299585e+01, 5.069309261590695570e+01, 5.097873798410574153e+01, 7.375546848285407381e-04, 2.033093243938000148e-03, 1.000000000000000000e+00, 1.819772476158999916e-03, 1.000000000000000000e+00, 2.537684969295999921e-03, nan, 8.496991305000000045e-04, 1.000000000000000000e+00, 7.605450932019999950e-04, 1.000000000000000000e+00, 2.133207677790002321e-04, -5.045917253579997735e-04, 1.183394113438000252e-03, 1.272548150736000153e-03, -7.179124931370000056e-04, 9.700733456589999111e-04, 1.059227382956999921e-03, 1.687985838796000025e-03, 1.777139876093999926e-03, 8.915403729800000943e-05
5.672267959760437606e+01, 5.323470532502096120e+01, 4.902272212012358921e+01, 5.430711616470232188e-05, 2.033093243938000148e-03, 1.000000000000000000e+00, 1.819772476158999916e-03, 1.000000000000000000e+00, 2.537684969295999921e-03, nan, 1.566240275629000086e-03, 1.000000000000000000e+00, 1.401903701731000047e-03, 1.000000000000000000e+00, 2.133207677790002321e-04, -5.045917253579997735e-04, 4.668529683090000618e-04, 6.311895422070001004e-04, -7.179124931370000056e-04, 2.535322005299998297e-04, 4.178687744279998683e-04, 9.714446936669998353e-04, 1.135781267564999874e-03, 1.643365738980000386e-04
5.285026525257676866e+01, 4.973784162513660334e+01, 4.989678114820644339e+01, 3.826265191410975746e-03, 3.161091228551000162e-03, 1.000000000000000000e+00, 3.528065917999000101e-03, 1.000000000000000000e+00, 3.945639837810000113e-03, nan, 1.598814687932000045e-03, 1.000000000000000000e+00, 2.305255060571000016e-03, 2.000000000000000000e+00, -3.669746894479999390e-04, -7.845486092589999509e-04, 1.562276540619000117e-03, 8.558361679800001454e-04, -4.175739198110000119e-04, 1.929251230067000056e-03, 1.222810857428000084e-03, 2.346825149878000068e-03, 1.640384777239000096e-03, -7.064403726389999714e-04
5.123179550581511421e+01, 5.024949078375430389e+01, 5.145427350696297708e+01, 1.930941067489839492e-03, 5.238486831470000153e-03, 2.000000000000000000e+00, 3.827161941789000016e-03, 1.000000000000000000e+00, 4.165599751988999580e-03, nan, 2.876283468437000005e-03, 1.000000000000000000e+00, 3.298461321350999991e-03, 1.000000000000000000e+00, 1.411324889681000137e-03, 1.072887079481000573e-03, 2.362203363033000148e-03, 1.940025510119000162e-03, -3.384378101999995642e-04, 9.508784733520000108e-04, 5.287006204380000247e-04, 1.289316283551999575e-03, 8.671384306379995889e-04, -4.221778529139999861e-04
5.228311317544098102e+01, 5.021074731057736074e+01, 5.044386323274542860e+01, 4.114415151747438139e-03, 4.494828622808999877e-03, 1.000000000000000000e+00, 5.982061215950000392e-03, 1.000000000000000000e+00, 5.610396409349000142e-03, nan, 7.449440800006999763e-03, 2.000000000000000000e+00, 9.258854913526999228e-03, 2.000000000000000000e+00, -1.487232593141000515e-03, -1.115567786540000265e-03, -2.954612177197999887e-03, -4.764026290717999351e-03, 3.716648066010002499e-04, -1.467379584056999371e-03, -3.276793697576998836e-03, -1.839044390657999621e-03, -3.648458504177999086e-03, -1.809414113519999465e-03
5.100102298212279806e+01, 5.258782086523439148e+01, 4.979484173623419707e+01, 1.853903525618259048e-03, 2.033093243938000148e-03, 1.000000000000000000e+00, 1.819772476158999916e-03, 1.000000000000000000e+00, 2.537684969295999921e-03, nan, 1.326799208430999924e-03, 2.000000000000000000e+00, 1.208546198532000097e-03, 2.000000000000000000e+00, 2.133207677790002321e-04, -5.045917253579997735e-04, 7.062940355070002237e-04, 8.245470454060000506e-04, -7.179124931370000056e-04, 4.929732677279999916e-04, 6.112262776269998185e-04, 1.210885760864999997e-03, 1.329138770763999824e-03, 1.182530098989998269e-04
5.093920310495270343e+01, 4.852066278500131347e+01, 4.744701018416591864e+01, 1.557451353552113808e-04, 2.033093243938000148e-03, 1.000000000000000000e+00, 1.819772476158999916e-03, 1.000000000000000000e+00, 2.537684969295999921e-03, nan, 1.521892314797999900e-03, 1.000000000000000000e+00, 1.362208917080000000e-03, 1.000000000000000000e+00, 2.133207677790002321e-04, -5.045917253579997735e-04, 5.112009291400002476e-04, 6.708843268580001479e-04, -7.179124931370000056e-04, 2.978801613610000155e-04, 4.575635590789999159e-04, 1.015792654498000021e-03, 1.175476052215999921e-03, 1.596833977179999003e-04
5.196085578632108337e+01, 5.149724741632637404e+01, 4.925783497959356083e+01, 2.579072630760855835e-03, 5.754593972417999977e-03, 2.000000000000000000e+00, 7.624742099470000270e-03, 3.000000000000000000e+00, 4.355394217456999735e-03, nan, 4.207824372143000209e-03, 2.000000000000000000e+00, 5.462944266397999973e-03, 3.000000000000000000e+00, -1.870148127052000293e-03, 1.399199754961000242e-03, 1.546769600274999767e-03, 2.916497060200000033e-04, 3.269347882013000535e-03, 3.416917727327000061e-03, 2.161797833072000297e-03, 1.475698453139995259e-04, -1.107550048941000238e-03, -1.255119894254999764e-03
5.680926387196282690e+01, 4.748096475881075662e+01, 5.004575851730144365e+01, 1.617731706898062674e-04, 2.033093243938000148e-03, 1.000000000000000000e+00, 1.819772476158999916e-03, 1.000000000000000000e+00, 2.537684969295999921e-03, nan, 1.186535327474000021e-03, 1.000000000000000000e+00, 1.062039007490000022e-03, 1.000000000000000000e+00, 2.133207677790002321e-04, -5.045917253579997735e-04, 8.465579164640001271e-04, 9.710542364480001260e-04, -7.179124931370000056e-04, 6.332371486849998950e-04, 7.577334686689998940e-04, 1.351149641821999901e-03, 1.475645961805999900e-03, 1.244963199839999989e-04
4.943844844992249676e+01, 5.265485147605435401e+01, 5.146935876990028191e+01, 6.306115017353779596e-04, 2.033093243938000148e-03, 1.000000000000000000e+00, 1.819772476158999916e-03, 1.000000000000000000e+00, 2.537684969295999921e-03, nan, 1.753539503338999959e-03, 2.000000000000000000e+00, 1.584932315860999950e-03, 2.000000000000000000e+00, 2.133207677790002321e-04, -5.045917253579997735e-04, 2.795537405990001882e-04, 4.481609280770001980e-04, -7.179124931370000056e-04, 6.623297281999995616e-05, 2.348401602979999659e-04, 7.841454659569999618e-04, 9.527526534349999715e-04, 1.686071874780000097e-04
5.046484227709074588e+01, 5.065499669746922962e+01, 4.911221425236988836e+01, 3.790191058929312865e-03, 2.033093243938000148e-03, 1.000000000000000000e+00, 2.882732194875000081e-03, 2.000000000000000000e+00, 2.537684969295999921e-03, nan, 3.254536203097999937e-03, 2.000000000000000000e+00, 2.955382668220000054e-03, 2.000000000000000000e+00, -8.496389509369999329e-04, -5.045917253579997735e-04, -1.221442959159999789e-03, -9.222894242819999061e-04, 3.450472255790001594e-04, -3.718040082229998565e-04, -7.265047334499997317e-05, -7.168512338020000159e-04, -4.176976989240001326e-04, 2.991535348779998833e-04
4.405761059532822088e+01, 4.939739848079661044e+01, 5.015634896910398055e+01, 7.992979926884045960e-04, 2.033093243938000148e-03, 1.000000000000000000e+00, 1.819772476158999916e-03, 1.000000000000000000e+00, 2.537684969295999921e-03, nan, 4.458692900779999738e-04, 1.000000000000000000e+00, 3.990867927319999915e-04, 1.000000000000000000e+00, 2.133207677790002321e-04, -5.045917253579997735e-04, 1.587223953860000120e-03, 1.634006451206000210e-03, -7.179124931370000056e-04, 1.373903186080999888e-03, 1.420685683426999978e-03, 2.091815679217999893e-03, 2.138598176563999767e-03, 4.678249734599998228e-05
5.369087204218315890e+01, 5.208258298809158759e+01, 4.961267318259204728e+01, 1.291215614055242922e-03, 2.033093243938000148e-03, 1.000000000000000000e+00, 1.819772476158999916e-03, 1.000000000000000000e+00, 2.537684969295999921e-03, nan, 1.640609214929000066e-03, 2.000000000000000000e+00, 1.489380827670000029e-03, 2.000000000000000000e+00, 2.133207677790002321e-04, -5.045917253579997735e-04, 3.924840290090000818e-04, 5.437124162680001191e-04, -7.179124931370000056e-04, 1.791632612299998498e-04, 3.303916484889998870e-04, 8.970757543669998554e-04, 1.048304141625999893e-03, 1.512283872590000373e-04
4.909309174827399147e+01, 4.818385299007680089e+01, 4.857998206282102416e+01, 1.229527809498475203e-03, 2.033093243938000148e-03, 1.000000000000000000e+00, 1.819772476158999916e-03, 1.000000000000000000e+00, 2.537684969295999921e-03, nan, 3.583469886563999882e-03, 4.000000000000000000e+00, 4.157680581728000375e-03, 5.000000000000000000e+00, 2.133207677790002321e-04, -5.045917253579997735e-04, -1.550376642625999734e-03, -2.124587337790000228e-03, -7.179124931370000056e-04, -1.763697410404999966e-03, -2.337908105569000243e-03, -1.045784917267999960e-03, -1.619995612432000454e-03, -5.742106951640004939e-04
