x, y, z,true densities,mbe (breiman),num used patterns (mbe (breiman)),mbe (silverman),num used patterns (mbe (silverman)),parzen,num used patterns (parzen),sambe (breiman),num used patterns (sambe (breiman)),sambe (silverman),num used patterns (sambe (silverman)),squared[mbe (breiman) - mbe (silverman)],squared[mbe (breiman) - parzen],squared[mbe (breiman) - sambe (breiman)],squared[mbe (breiman) - sambe (silverman)],squared[mbe (silverman) - parzen],squared[mbe (silverman) - sambe (breiman)],squared[mbe (silverman) - sambe (silverman)],squared[parzen - sambe (breiman)],squared[parzen - sambe (silverman)],squared[sambe (breiman) - sambe (silverman)]
5.529215703790299585e+01, 5.074477648502254112e+01, 5.091081832379659744e+01, 7.375546848285394370e-04, 2.607709164827999929e-03, 1.000000000000000000e+00, 2.381510256096999820e-03, 1.000000000000000000e+00, 3.126601613565000142e-03, nan, 9.696691152120000311e-04, 1.000000000000000000e+00, 8.855577048410000511e-04, 1.000000000000000000e+00, 5.116594631109531514e-08, 2.692493733562803822e-07, 2.683175204145987653e-06, 2.965805651135354918e-06, 5.551611309735074855e-07, 1.993295407095458075e-06, 2.237874035609334472e-06, 4.652357802451314981e-06, 5.022277800828943828e-06, 7.074729354598762966e-09
5.672267959760437606e+01, 5.347591708057701965e+01, 4.909054045629401486e+01, 5.430711616470241675e-05, 2.607709164827999929e-03, 1.000000000000000000e+00, 2.381510256096999820e-03, 1.000000000000000000e+00, 3.126601613565000142e-03, nan, 1.912860053676000011e-03, 1.000000000000000000e+00, 1.746934013099000083e-03, 1.000000000000000000e+00, 5.116594631109531514e-08, 2.692493733562803822e-07, 4.828152872687243074e-07, 7.409338618340827478e-07, 5.551611309735074855e-07, 2.196330122292441030e-07, 4.026870081774564337e-07, 1.473168574201783224e-06, 1.903482687775610337e-06, 2.753145094156022739e-08
5.285026525257676866e+01, 4.971829249299607056e+01, 4.990394403496997455e+01, 3.826265191410975746e-03, 2.607709164827999929e-03, 1.000000000000000000e+00, 2.381510256096999820e-03, 1.000000000000000000e+00, 3.126601613565000142e-03, nan, 1.361428589787000085e-03, 1.000000000000000000e+00, 1.243335028787000054e-03, 1.000000000000000000e+00, 5.116594631109531514e-08, 2.692493733562803822e-07, 1.553215271724525334e-06, 1.861516783097624874e-06, 5.551611309735074855e-07, 1.040566605941785573e-06, 1.295442848062169591e-06, 3.115835803873567792e-06, 3.546693029341392268e-06, 1.394608914966072764e-08
5.123179550581511421e+01, 5.026809529448946279e+01, 5.135335399204319629e+01, 1.930941067489844697e-03, 6.675943140313000089e-03, 2.000000000000000000e+00, 5.012263854745999982e-03, 1.000000000000000000e+00, 5.134839344508999870e-03, nan, 2.558179712703000184e-03, 1.000000000000000000e+00, 2.993998025528000172e-03, 1.000000000000000000e+00, 2.767828765224723819e-06, 2.375000909441497647e-06, 1.695597564576245206e-05, 1.355671982828912673e-05, 1.502475069063928883e-08, 6.022528976226926494e-06, 4.073396957389020752e-06, 6.639174858178629890e-06, 4.583201553056306126e-06, 1.899376017936295565e-07
5.228311317544098102e+01, 5.022646272315910920e+01, 5.041306128116966079e+01, 4.114415151747438139e-03, 4.158727846854000203e-03, 1.000000000000000000e+00, 6.168161922761999753e-03, 2.000000000000000000e+00, 4.986248225733999617e-03, nan, 6.615785648805000072e-03, 2.000000000000000000e+00, 7.037533967388999966e-03, 2.000000000000000000e+00, 4.037825305420236241e-06, 6.847899774616978094e-07, 6.037133042128279307e-06, 8.287524679629775889e-06, 1.396919987222395379e-06, 2.003670001166190033e-07, 7.558077519789308902e-07, 2.655392213188876532e-06, 4.207773193917104840e-06, 1.778716442284310731e-07
5.100102298212279806e+01, 5.278079449072645701e+01, 4.980907872285459348e+01, 1.853903525618262301e-03, 2.607709164827999929e-03, 1.000000000000000000e+00, 2.381510256096999820e-03, 1.000000000000000000e+00, 3.126601613565000142e-03, nan, 1.769587349634999971e-03, 2.000000000000000000e+00, 1.633504110440999911e-03, 2.000000000000000000e+00, 5.116594631109531514e-08, 2.692493733562803822e-07, 7.024481771024091402e-07, 9.490754879931776427e-07, 5.551611309735074855e-07, 3.744496434529014196e-07, 5.595131939391449223e-07, 1.841487712509480120e-06, 2.229340153835123931e-06, 1.851864798953143267e-08
5.093920310495270343e+01, 4.841034870973482640e+01, 4.762417527214662982e+01, 1.557451353552108386e-04, 2.607709164827999929e-03, 1.000000000000000000e+00, 2.381510256096999820e-03, 1.000000000000000000e+00, 3.126601613565000142e-03, nan, 1.696001668961000025e-03, 1.000000000000000000e+00, 1.548886441581000034e-03, 1.000000000000000000e+00, 5.116594631109531514e-08, 2.692493733562803822e-07, 8.312105580200756890e-07, 1.121105559264192854e-06, 5.551611309735074855e-07, 4.699220230371946410e-07, 6.932624164991740168e-07, 2.046616201500968136e-06, 2.489185163908502863e-06, 2.164289012706909877e-08
5.196085578632108337e+01, 5.160889705408480665e+01, 4.930933762575415358e+01, 2.579072630760844559e-03, 6.950882436513999667e-03, 2.000000000000000000e+00, 5.157001468193999662e-03, 1.000000000000000000e+00, 5.233221057822000366e-03, nan, 7.845949961757000060e-03, 3.000000000000000000e+00, 8.640159893640999428e-03, 3.000000000000000000e+00, 3.218008928500700793e-06, 2.950360611850099739e-06, 8.011458747446291113e-07, 2.853658327157462595e-06, 5.809425843060832493e-09, 7.230444001034729304e-06, 1.213239261676242323e-05, 6.826352325457385239e-06, 1.160723223101171631e-05, 6.307694159031868625e-07
5.680926387196282690e+01, 4.729312047261417007e+01, 5.004258309854603226e+01, 1.617731706898056982e-04, 2.607709164827999929e-03, 1.000000000000000000e+00, 2.381510256096999820e-03, 1.000000000000000000e+00, 3.126601613565000142e-03, nan, 1.386705411223999960e-03, 1.000000000000000000e+00, 1.989315641011000103e-03, 2.000000000000000000e+00, 5.116594631109531514e-08, 2.692493733562803822e-07, 1.490850166315057563e-06, 3.824105502988063084e-07, 5.551611309735074855e-07, 9.896366793827932303e-07, 1.538166161024554809e-07, 3.027238794920634512e-06, 1.293419383368097738e-06, 3.631390890439410902e-07
4.943844844992249676e+01, 5.285282356962535744e+01, 5.136739241103349229e+01, 6.306115017353712375e-04, 2.607709164827999929e-03, 1.000000000000000000e+00, 2.381510256096999820e-03, 1.000000000000000000e+00, 3.126601613565000142e-03, nan, 2.430083404715000211e-03, 2.000000000000000000e+00, 2.233615946497000126e-03, 2.000000000000000000e+00, 5.116594631109531514e-08, 2.692493733562803822e-07, 3.155091065572092130e-08, 1.399457360012450820e-07, 5.551611309735074855e-07, 2.359350766666353401e-09, 2.187272681206056033e-08, 4.851376152596120969e-07, 7.974234015888809740e-07, 3.859946213864160713e-08
