# xi_x xi_y xi_z
55.292157037902996 51.288091626371070 50.526636503027717
56.722679597604376 48.713829978861348 52.457844538518160
52.850265252576769 49.864156351507702 49.800802711486362
51.231795505815114 51.913931570239257 50.189572000737705
52.283113175440981 50.584156865921337 50.160133327231776
51.001022982122798 49.729996540515380 51.966318641478871
50.939203104952703 46.640076448048397 48.875946792931551
51.960855786321083 49.023255903320724 51.137662017174428
56.809263871962827 50.060221595491669 48.085947130330446
49.438448449922497 51.933784892769609 52.017250891610907
50.464842277090746 48.831608248474410 50.497689864721060
44.057610595328221 50.205766815189662 49.542121861481405
53.690872042183159 49.490249241089799 51.582420872682910
49.093091748273991 48.131151294952346 48.620026691470919
44.881189428124962 49.329260007952108 52.567364802771685
48.685777095166443 51.023234852631560 48.351228583090830
45.158306457326148 48.821499729345071 49.720018045702162
51.160707493577789 48.446200663621148 49.327742632762984
49.915453314984035 50.087541587792266 50.563716443724417
50.907415693219342 49.522605778016242 49.165185176664870
47.982618656672145 48.929839309472356 49.526801427821582
44.821152193004970 49.471226550956587 50.233505935038579
45.109404959101866 48.805928200640913 50.609055700153014
50.155836187388417 50.169751056962795 50.959537141970777
53.418202053629905 50.529511378282429 48.374877827309817
47.945569727179063 49.238190998797293 48.853966501408614
49.065342403617883 48.466576573349293 50.073917747337148
52.702479460862563 47.978189606928204 50.612846235737315
54.464756581386801 51.551361160602497 52.495130476011767
49.460225492562948 51.387736515726949 48.590810300529220
48.790469159080459 50.274105286195208 51.608828189392192
52.929917109451139 50.929902584906934 50.469004554410738
50.031500062162465 50.167025707136652 52.350337747528101
51.205968090334103 48.226249323909180 52.478365694869112
46.188545004542803 48.456082772542914 51.275797815848449
55.830863556947875 49.016294146806516 49.455646808158200
55.768826079441155 52.457845815473981 51.948467042798626
52.718133974826159 52.513786847824960 48.866563256612295
49.195989887145856 51.246653698505142 51.056092009035154
49.534969720727496 51.213692235020119 50.808173901202707
51.129276593466891 50.392503510742991 48.553107189692717
53.979157690061093 49.803069870034662 49.085897289575520
48.694539344835086 50.884789658748275 52.433767936147298
51.222385508723335 50.709691847164805 48.986733462268120
47.977002018027875 49.163179500007800 50.041891370562645
52.029299884839503 49.725863420853457 50.758836189853980
51.188020137984935 48.037394635622057 48.561450153801140
51.318175103793614 50.835748371501580 50.219354655907743
57.149434324591823 48.798658390647482 51.243004908594784
53.351048864287556 49.392520496824417 48.268168453574177
49.795275184026103 49.019847532680991 52.254885831244025
47.520684384022957 49.126813469160581 49.870429191094118
53.379907766319519 48.489846325884130 48.578730206074312
48.686539865766697 52.539406993187384 49.344552434036814
52.848262420777282 48.387236159118665 50.115223913588778
52.533088929204638 47.966966903570864 48.683642573944347
53.564089377056902 51.211918367575933 50.417119935151582
50.956182958829061 49.143202134890700 51.127652501827313
46.897271474646608 48.942653419225920 50.897028832881318
47.931350666749395 50.023003866961140 49.400485510065636
20.747007544110939 42.468546875150622 37.416998033422558
46.357542436481069 27.762870629473191 58.678434645816878
86.385560592323145 11.753185596203309 51.737910715411417
13.206810634515332 71.685968119259371 39.605970280729373
56.542131185850899 18.327983621407860 14.484775934337723
48.805628064895458 35.561273784995564 94.043194525281308
76.532525380696526 74.866361985054724 90.371973974593345
8.342243544201855 55.219246992240656 58.447606895576889
96.193637854722908 29.214752679254886 24.082877991544681
10.029394226549782 1.642962959147420 92.952931679219049
66.991654659091012 78.515291202313776 28.173010575394908
58.641016618632669 6.395526612098113 48.562759593462289
97.749513974444682 87.650524531659073 33.815895183684560
96.157015454149857 23.170162647120453 94.931882241568147
94.137770470649855 79.920258735239173 63.044793686679114
87.428796662494705 29.302028450779673 84.894355531291822
61.787669191752379 1.323685775889949 34.723351793221958
14.814086094816503 98.182938981825316 47.837030703998806
49.739136549866267 63.947251639872363 36.858460612961750
13.690027168559894 82.211773319424552 18.984791190275796
51.131898254645606 22.431702897473926 9.784448449403405
86.219151742168336 97.291948902313024 96.083465806300012
90.655549922117899 77.404733269863883 33.314515202864193
8.110138998799677 40.724117141380731 23.223414217094273
13.248763475798297 5.342718178682526 72.559436421057882
1.142745862503103 77.058074850277620 14.694664540037506
7.952208258675575 8.960303423860537 67.204780735391438
24.536720985284475 42.053946668009843 55.736879132391692
86.055117382879374 72.704426271132832 27.032790523871462
13.148279929112761 5.537432042119795 30.159863448094249
